leader.1,controlfield.1,controlfield.2,controlfield.3,controlfield.4,datafield.1,datafield.2,datafield.3,datafield.4,datafield.5,datafield.6,datafield.7,datafield.8,datafield.9,datafield.10,datafield.11,datafield.12,datafield.13,datafield.14,datafield.15,datafield.16,datafield.17,datafield.18,datafield.19
00392nx  a22001331i 4500,22317847390001488,9977720580101488,20150122133732.0,1101102u    8   4001uulat0000000,"
      DIGI_0033_0054
    ","
      Redactiecomité Bossche Bijdragen (Tilburg)
      Manuscriptdon
      201101
    ","
      BIBC
      BRES
      Ms. 254
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus1/I
    ","
      BIBC
      C88
    ",,,,,,,,,,,,
00465nx  a22001331i 4500,22318233130001488,9979991410101488,20150203150047.0,1103142u    8   4001uulat0000000,"
      DIGI_0033_0090
    ","
      201103
    ","
      BIBC
      BRES
      Ms. 290
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus28
    ","
      2 small leaflets : one with the text of the deleted words of the title page ; the other is in the handwriting of the lecture notes (f. 160-161)
    ",,,,,,,,,,,,
00504nx  a22001571i 4500,22317099000001488,9977279980101488,20150107162850.0,1009292u    8   4001uulat0000000,"
      DIGI_0033_0003
    ","
      K173729 (Baggerman)
      Manuscriptacq
      201009
    ","
      BIBC
      BRES
      Ms. 203
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDLilium3
    ","
      Incomplete : at the beginning and the end folios are missing
    ","
      Bandcover in very poor condition ; water damage
    ","
      198303
    ",,,,,,,,,,
00444nx  a22001571i 4500,22317700180001488,9977686300101488,20150122133727.0,1012222u    8   4001uulat0000000,"
      DIGI_0033_0048
    ","
      K167377 (Vandeplas, A.)
      Manuscriptacq
      201012
    ","
      Vandeplas, A. (prof.)
    ","
      BIBC
      BRES
      Ms. 248
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Vandeplas, A. (prof.)
    ","
      BIBC
      CaaCDFalco1
    ","
      19820301
    ",,,,,,,,,,
00390nx  a22001331i 4500,22317852470001488,9977731120101488,1101102u    8   4001uulat0000000,20150127092707.0,"
      DIGI_0033_0055
    ","
      Redactiecomité Bossche Bijdragen (Tilburg)
      Manuscriptdon
      201101
    ","
      BIBC
      BRES
      Ms. 255
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CDProcus1/II
    ","
      BIBC
      C89
    ",,,,,,,,,,,,
00482nx  a22001451i 4500,22318067950001488,9978981200101488,20150127153812.0,1102112u    8   4001uulat0000000,"
      DIGI_0033_0062
    ","
      201102
    ","
      BIBC
      BRES
      Ms. 262
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus10
    ","
      Bandcover is in very poor condition (back/spine is missing) ; two stamps on endpaper (illegible)
    ","
      F. 120-122, 203-204 : small leaflet(s) inserted
    ",,,,,,,,,,,
00305nx  a22001211i 4500,22318145890001488,9979915920101488,20150128111852.0,1102232u    8   4001uulat0000000,"
      DIGI_0033_0069
    ","
      201102
    ","
      BIBC
      BRES
      Ms. 269
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus17
    ",,,,,,,,,,,,,
00394nx  a22001451i 4500,22318124590001488,9979977270101488,1103092u    8   4001uulat0000000,20150203114334.0,"
      DIGI_0033_0086
    ","
      Moorthamers (Brussel)
      Manuscriptacq
      201103
    ","
      BIBC
      BRES
      Ms. 286
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus34
    ","
      BIBC
      C83
    ","
      19640225
    ",,,,,,,,,,,
00349nu  a2200145un 4500,22278442660001488,998161350101488,20150128161324.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0073
    ","
      201103
    ","
      BIBC
      BRES
      Ms. 273
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus27
    ",,,,,,,,,,,,,
00331nx  a22001331i 4500,22317993180001488,9978968940101488,1102092u    8   4001uulat0000000,20150127124045.0,"
      DIGI_0033_0058
    ","
      201102
    ","
      BIBC
      BRES
      Ms. 258
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus4
    ","
      BIBC
      C111
    ",,,,,,,,,,,,
00433nx  a22001571i 4500,22318169690001488,9979944780101488,1103022u    8   4001uulat0000000,20150128144242.0,"
      DIGI_0033_0072
    ","
      Melotte (Leuven)
      Manuscriptacq
      201103
    ","
      BIBC
      BRES
      Ms. 272
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      C15
    ","
      BIBC
      CaaCDPorcus26
    ","
      Bandcover in poor condition
    ","
      19430531
    ",,,,,,,,,,
00625nx  a22001691i 4500,22317933810001488,9980010920101488,20150204144730.0,1103162u    8   4001uulat0000000,"
      DIGI_0033_0095
    ","
      GK38168-258
      Manuscriptdon
      201103
    ","
      Librairie Gason
    ","
      Coppens, Joseph, Leuven (ex libris)
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 295
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Librairie Gason
      Aankoopbewijs
    ","
      Coppens, Joseph, Leuven (ex libris)
      Ex libris Josephi Coppens in Alma Universitatis Lovaniensi professoris
      Ownership stamp
    ","
      BIBC
      CaaCDPorcus 31/I
    ",,,,,,,,,
00518nx  a22001571i 4500,22317013260001488,9977266570101488,20150120094929.0,1009272u    8   4001uulat0000000,"
      DIGI_0033_0022
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      BIBC
      BRES
      Ms. 222
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium14
    ","
      P. 308-309 : small leaflet is inserted
    ",,,,,,,,,,
00420nx  a22001451i 4500,22318262820001488,9979976860101488,1103092u    8   4001uulat0000000,20150203111133.0,"
      DIGI_0033_0084
    ","
      PK491-3
      201103
    ","
      BIBC
      BRES
      Ms. 284
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus23/III
    ","
      F. 135: only a small piece remains
    ","
      F. 81-82 : some folios are missing
    ",,,,,,,,,,,
00466nx  a22001571i 4500,22318009660001488,9978990300101488,1102142u    8   4001uulat0000000,20150127154252.0,"
      DIGI_0033_0063
    ","
      Delmarul
      Manuscriptacq
      201102
    ","
      BIBC
      BRES
      Ms. 263
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus11
    ","
      BIBC
      C5
    ","
      Ms. is incomplete : title page en some folio's are missing (f. 150-151)
    ","
      193907
    ",,,,,,,,,,
00414nx  a22001451i 4500,22317092530001488,9977279820101488,20150120103659.0,1009292u    8   4001uulat0000000,"
      DIGI_0033_0023
    ","
      Claeys-Bouuaert (Gent)
      Manuscriptdon
      201009
    ","
      BIBC
      BRES
      Ms. 223
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDLilium15
    ","
      BIBC
      C21
    ","
      Bandcover in poor condition
    ",,,,,,,,,,,
00465nx  a22001451i 4500,22316997410001488,9977262400101488,20150116094139.0,1009242u    8   4001uulat0000000,"
      DIGI_0033_0016
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      BIBC
      BRES
      Ms. 216
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium12/1
    ",,,,,,,,,,,
00462nx  a22001451i 4500,22317171130001488,9977253760101488,1009222u    8   4001uulat0000000,20150115143721.0,"
      DIGI_0033_014
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      BIBC
      BRES
      Ms. 214
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium10
    ",,,,,,,,,,,
00510nx  a22001571i 4500,22316992420001488,9977263640101488,20150116115124.0,1009242u    8   4001uulat0000000,"
      DIGI_0033_0019
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      BIBC
      BRES
      Ms. 219
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium12/4
    ","
      Attacked by non active mould
    ",,,,,,,,,,
     nx  a22     1i 4500,22317355020001488,9977549140101488,1011242u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 211
    ","
      Devroe (Leuven)
      Manuscriptacq
      201011
    ","
      1982
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      19821210
    ","
      Nicolaus
      Nicolaus G[..]dus [...]
      Handwritten
    ","
      BIBC
      CaaCDLilium7
    ","
      Nicolaus
      Handwritten
    ",,,,,,,,,,
00508nx  a22001571i 4500,22318269450001488,9979994270101488,20150204144722.0,1103142u    8   4001uulat0000000,"
      DIGI_0033_0091
    ","
      K129820
      Manuscriptacq
      201103
    ","
      Serjacob J. B.
      Handwritten
    ","
      BIBC
      BRES
      Ms. 291
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Serjacob J. B.
      Ex libris J: B: Serjacob Angiensis Philosophi paedagogii Porci
      Handwritten
    ","
      BIBC
      CaaCDPorcus29/I
    ","
      19800110
    ",,,,,,,,,,
     nx  a22     1i 4500,22318043810001488,9978977230101488,1102102u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 261
    ","
      201102
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      vande Biessemen, Michael
      Rv Mich: vande Biessemen alias a Juncis [...]
      Handwritten
    ","
      Kips, Michael
      Mich: Kips philosophus in Lilio
      Handwritten
    ","
      Haesen, Eugène
      Eug. Haesen Huissier Hasselt
      Ownership stamp
    ","
      Claes (deken)
      Handwritten
    ","
      BIBC
      CaaCDPorcus9
    ","
      BIBC
      C23
    ","
      vande Biessemen, Michael
      Handwritten
    ","
      Kips, Michael
      Handwritten
    ","
      Haesen, Eugène
      Ownership stamp
    ","
      Claes (deken)
      Handwritten
    ",,,,,
00312nx  a22001211i 4500,22317433860001488,9977481560101488,20150121113333.0,1011082u    8   4001uulat0000000,"
      DIGI_0033_0034
    ","
      PK402
      201011
    ","
      BIBC
      BRES
      Ms. 234
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDCastrum8
    ",,,,,,,,,,,,,
00347nx  a22001331i 4500,22318174300001488,9979967470101488,1103072u    8   4001uulat0000000,20150203094720.0,"
      DIGI_0033_0081
    ","
      PK491-1
      201103
    ","
      BIBC
      BRES
      Ms. 281
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus21
    ","
      F. 49 is missing
    ",,,,,,,,,,,,
00578nx  a22001691i 4500,22335658070001488,9974819880101488,20150205092803.0,0912232u    8   4001uulat0000000,"
      DIGI_0033_0099
    ","
      The Romantic Agony
      Manuscriptacq
      201103
      2005, cat. 27, nr. 1000
    ","
      Du[.]uque
      Handwritten
    ","
      BIBC
      BRES
      Ms. 299
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Du[.]uque
      Du[.]uque Minor de Marcinelle pres de Charleroy 1816
      Handwritten
    ","
      Bandcover in very poor condition ; some pages are damaged
    ","
      2005
    ",,,,,,,,,,
00316nx  a22001211i 4500,22318246060001488,9979974500101488,1103092u    8   4001uulat0000000,20150203100912.0,"
      DIGI_0033_0082
    ","
      PK491-2
      201103
    ","
      BIBC
      BRES
      Ms. 282
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDPorcus23/I
    ",,,,,,,,,,,,,
00409nx  a22001331i 4500,22317017520001488,9977265700101488,20150120094518.0,1009272u    8   4001uulat0000000,"
      DIGI_0033_0021
    ","
      201009
    ","
      BIBC
      BRES
      Ms. 221
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium13/2
    ",,,,,,,,,,,,
00582nu  a2200205un 4500,22290977230001488,9922526250101488,20150209162952.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0122
    ","
      De Vocht, Henri
      Manuscriptdon
      201104
    ","
      De Vocht, Henri
      Handwritten
    ","
      BIBC
      BRES
      Ms. 322
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      De Vocht, Henri
      Handwritten
    ","
      BIBC
      CaaCD2
    ","
      BIBC
      C16
    ","
      Engraved titlepage is torn out ; incomplete at the end
    ","
      1962
    ",,,,,,,,
00345nx  a22001211i 4500,22325298900001488,9937199870101488,20150122133737.0,1101052u    8   4001uulat0000000,"
      DIGI_0033_0053
    ","
      Hartung & Hartung (München)
      Manuscriptacq
      201101
    ","
      BIBC
      BRES
      Ms. 253
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      20081103
    ",,,,,,,,,,,,,
00535nx  a22001571i 4500,22318081190001488,9979742740101488,1102162u    8   4001uulat0000000,20150128093656.0,"
      DIGI_0033_0066
    ","
      201102
    ","
      Molyn, Joannes Baptista Josephus
      Handwritten
    ","
      BIBC
      BRES
      Ms. 266
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Molyn, Joannes Baptista Josephus
      Ex libris Jōis Baptae Molyn Philosophi Procensis āō 1769
      Handwritten
    ","
      BIBC
      CaaCDPorcus14
    ","
      BIBC
      C206
    ",,,,,,,,,,
00601nu  a2200193un 4500,22281803640001488,998409340101488,20150210145026.0,1406300u    0   4000uuund0000000,"
      DIGI_0033_0128
    ","
      Manuscriptacq
      201104
    ","
      Bibl. FF. Predicatorum Conv. Sart. O. P.
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 328
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bibl. FF. Predicatorum Conv. Sart. O. P.
      Bibl. FF. Predicatorum Conv. Sart. O. P.
      Ownership stamp
    ","
      BIBC
      CaaCD5
    ","
      Water damage
    ","
      19870325
    ",,,,,,,,,
00379nx  a22001451i 4500,22317598690001488,9977590330101488,20150120133444.0,1012012u    8   4001uulat0000000,"
      DIGI_0033_0027
    ","
      Manuscriptacq
      201012
    ","
      BIBC
      BRES
      Ms. 227
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDCastrum1
    ","
      Bandcover is restored
    ","
      1990
    ",,,,,,,,,,,
00701nx  a22001931i 4500,22318145190001488,9979979380101488,1103102u    8   4001uulat0000000,20150203114944.0,"
      DIGI_0033_0087
    ","
      Mevr. P[rosper] Poullet
      Manuscriptdon
      201103
    ","
      Poullet, Ivo Josephus
      Handwritten
    ","
      Poullet, Ivo Josephus
    ","
      BIBC
      BRES
      Ms. 287
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Poullet, Ivo Josephus
      Cours de Ivo Joseph Poullet Membre des Etats Generaux et echevin de Louvain
      Handwritten
    ","
      Poullet, Ivo Josephus
      Poullet, Membre des Etats Généraux (business card)
    ","
      BIBC
      CaaCDPorcus25
    ","
      BIBC
      C61
    ","
      1946
    ",,,,,,,
00776nx  a22001931i 4500,22317897300001488,9977803120101488,20150109144912.0,1101242u    8   4001uulat0000000,"
      DIGI_0033_0060
    ","
      Eeman-Mahy, Mevr. (Sint-Pieters-Woluwe)
      Manuscriptdon
      201101
    ","
      Mannaerts, Ferdinandus
      Handwritten
    ","
      van der Meeren, Balthasar
      Handwritten
    ","
      BIBC
      BRES
      Ms. 260
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Mannaerts, Ferdinandus
      Ferdinandus Mannaerts Anno
      Handwritten
    ","
      van der Meeren, Balthasar
      Balthasar vander Meeren 1681
      Handwritten
    ","
      CaaCDPorcus6
    ","
      Bandcover and paper is in very poor condition. Humidity damage
    ","
      F. 468v-469r and f 606v-607r: some folio's are missing
    ",,,,,,,
00626nx  a22001811i 4500,22318123420001488,9979911060101488,1102232u    8   4001uulat0000000,20150128100003.0,"
      DIGI_0033_0068
    ","
      201102
    ","
      Quewet, Joannes Josephus
      Handwritten
    ","
      Breckpot, Raymond
      Handwritten
    ","
      BIBC
      BRES
      Ms. 268
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Quewet, Joannes Josephus
      Ad usum J. J. Quewet Philosophi in Standonck anno 1770
      Handwritten
    ","
      Breckpot, Raymond
      Raymond Breckpot
      Handwritten
    ","
      BIBC
      CaaCDPorcus16
    ","
      Cover in very poor condition
    ",,,,,,,,
00602nx  a22001451i 4500,22317070110001488,9977312870101488,20150120133448.0,1010062u    8   4001uulat0000000,"
      DIGI_0033_0025
    ","
      GK46198 (Goedertier, Jan)
      Manuscriptdon
      201010
    ","
      Josephus Robertus Vandepoele
      Handwritten
    ","
      BIBC
      BRES
      Ms. 225
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Josephus Robertus Vandepoele
      hujus tractatus possessor est Joannes Robertus Vande Poele philosophus in alma universitate Lovaniensi in paedagogii florentis Lilii 1780
      Handwritten
    ","
      BIBC
      CaaCDLilium18
    ",,,,,,,,,,,
00404nx  a22001451i 4500,22318047030001488,9978955270101488,20150108143349.0,1102072u    8   4001uulat0000000,"
      DIGI_0033_0050
    ","
      Devroe (Leuven)
      Manuscriptexch
      201102
    ","
      BIBC
      BRES
      Ms. 250
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      BIBC
      CaaCDFalco13
    ","
      Bookcover in poor condition
    ","
      198110
    ",,,,,,,,,,,
00506nx  a22001691i 4500,22318048430001488,9979601780101488,1102142u    8   4001uulat0000000,20150127161620.0,"
      DIGI_0033_0064
    ","
      Vanderstraeten, C. (Hasselt)
      Manuscriptdon
      201102
    ","
      Vanderstraeten, C. (Hasselt)
      Ex dono
    ","
      BIBC
      BRES
      Ms. 264
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Vanderstraeten, C. (Hasselt)
      Ex dono
    ","
      BIBC
      CaaCDPorcus12
    ","
      BIBC
      C9
    ","
      194210
    ",,,,,,,,,
00687nx  a22002051i 4500,22318227450001488,9980025940101488,20150204164028.0,1103212u    8   4001uulat0000000,"
      DIGI_0033_0098
    ","
      Antiquariaat Theo De Boer (Zandpol, Nederland)
      Manuscriptacq
      201103
    ","
      Boreux
    ","
      De Blende (ex libris)
      Handwritten
    ","
      BIBC
      BRES
      Ms. 298
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Boreux
    ","
      De Blende (ex libris)
      Ex libris De Blende, physici in Lilio Anno 1778
      Handwritten
    ","
      BIBC
      CaaCDPorcus36
    ","
      Bandcover in very poor condition
    ","
      F. 0 : largest part is ripped out
    ","
      200503
    ",,,,,,
00465nx  a22001451i 4500,22316994620001488,9977263370101488,1009242u    8   4001uulat0000000,20150116111716.0,"
      DIGI_0033_0018
    ","
      201009
    ","
      Bertram, Ludovicus Alexander
      Bookplate
    ","
      BIBC
      BRES
      Ms. 218
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Bertram, Ludovicus Alexander
      Ex libris Ludovici-Alexandri Bertram, J.U.L.
      Bookplate
    ","
      BIBC
      CaaCDLilium12/3
    ",,,,,,,,,,,
     nx  a22     1i 4500,22317468460001488,9977567710101488,1011292u    8   4001uulat0000000,,"
      2011: restoration by Myriam van Herck (Heverlee), book restorator
    ","
      BIBC
      BRES
      Ms. 207
    ","
      Devroe (Leuven)
      Manuscriptacq
      201011
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      1990
    ","
      van Cantelbeke, Henricus Joannes
      Ex Libris Henrici Joannis Van Cantelbeek
      Handwritten
    ","
      BIBC
      CaaCDLilium5/3
    ","
      van Cantelbeke, Henricus Joannes
      Handwritten
    ",,,,,,,,,,
00788nx  a22002171i 4500,22317636630001488,9977608360101488,20150107162846.0,1012062u    8   4001uulat0000000,"
      DIGI_00033_0042
    ","
      Gothier, Léopold (Luik)
      Manuscriptacq
      201012
    ","
      Sint-Niklaas, Klein seminarie
      Ownership stamp
    ","
      Drongen, Sint-Paulusseminarie
      Ownership stamp
    ","
      Seminarium Episcopale in Sti Nicolai
      Ownership stamp
    ","
      BIBC
      BRES
      Ms. 242
    ","
      UBKUL collegedictaten host
    ","
      Ex Cathedra project
    ","
      Sint-Niklaas, Klein seminarie
      Ownership stamp
    ","
      Drongen, Sint-Paulusseminarie
      Ownership stamp
    ","
      Seminarium Episcopale in Sti Nicolai
      Ownership stamp
    ","
      BIBC
      CaaCDFalco5
    ","
      BIBC
      C101
    ","
      1949.04
    ",,,,,
     nx  a22     1i 4500,22317568000001488,9977504050101488,1011152u    8   4001uulat0000000,,"
      BIBC
      BRES
      Ms. 237
    ","
      Librairie des académies (Bruxelles)
      Manuscriptacq
      201011
    ","
      UBKUL collegedictaten host
    ","
      Bandcover is damaged
    ","
      Ex Cathedra project
    ","
      194909
    ","
      BIBC
      C1
    ","
      BIBC
      CaaCDCastrum 11
    ",,,,,,,,,,,
